"","HPTS","H2PM","H3PM","HFTM","HORB","HDRB","HAST","HSTL","HTOV","HBLK","HPF","HL5","HALL","APTS","A2PM","A3PM","AFTM","AORB","ADRB","AAST","ASTL","ATOV","ABLK","APF","AL5","AALL","W","DIFF"
"1345",100.443181818182,0.483045469512638,0.324104720353264,0.752133361206323,11.0568181818182,32.375,24.1931818181818,8.34090909090909,13.3636363636364,3.60227272727273,20.9886363636364,2,-3,96.0888888888889,0.462990840690847,0.347548970333119,0.748472177256335,10.3333333333333,33.7888888888889,21.1222222222222,6.38888888888889,13.3111111111111,4.5,20.9777777777778,3,-5,"A",-11
"1346",94.0224719101124,0.449220609903521,0.31300873636147,0.743845802823737,9.86516853932584,33.7078651685393,20.0112359550562,6.02247191011236,11.0561797752809,5.38202247191011,18,3,-16,91.6888888888889,0.449265409361611,0.346200153416177,0.763084960535374,10.7222222222222,29.7222222222222,20.8777777777778,6.94444444444444,13.5444444444444,4.71111111111111,21.4333333333333,1,-49,"H",2
"1347",103.449438202247,0.501395918117066,0.341814015910639,0.7498643855792,10.2134831460674,31.8988764044944,22.1573033707865,7.78651685393258,12.3707865168539,4.33707865168539,19.9325842696629,4,18,105.292134831461,0.516441646801262,0.360727987724264,0.702614186531042,9.32584269662921,32.9550561797753,24.2584269662921,7.58426966292135,11.7415730337079,5.1123595505618,20.9887640449438,1,30,"H",10
"1348",100.23595505618,0.470667307011784,0.324481065405911,0.725395949982751,12.1460674157303,32.1685393258427,21.561797752809,7.73033707865169,13.752808988764,4.48314606741573,22.5056179775281,3,-22,96.6333333333333,0.482270366505579,0.358011329308351,0.75186926880045,10.4444444444444,30.6888888888889,23.2,9.31111111111111,15.6777777777778,4.77777777777778,21.9444444444444,4,-1,"H",1
"1349",102.674157303371,0.500177723256372,0.337839207489849,0.712622512388031,11.5505617977528,31.7303370786517,21.876404494382,9.39325842696629,15.7752808988764,4.89887640449438,21.7640449438202,2,28,96.2808988764045,0.483616265229485,0.316265488687243,0.737201674563664,10.2808988764045,31.5280898876404,20.6629213483146,6.98876404494382,13.4831460674157,4.13483146067416,19.123595505618,1,-12,"A",-8
"1350",96.5888888888889,0.478401958147467,0.325397931831353,0.770927930713066,10.3555555555556,31.7333333333333,21.3888888888889,8.34444444444444,12.8555555555556,4.2,19.1777777777778,1,23,108.977777777778,0.508736202256058,0.393560967342114,0.757102671406913,10.4,34.1777777777778,27.2777777777778,9.21111111111111,13.9333333333333,5.96666666666667,19.6777777777778,5,59,"A",-16
"1351",95.0777777777778,0.479243355959147,0.342720332664792,0.731286141209288,10.0444444444444,31.7555555555556,20.5777777777778,7.87777777777778,14.2333333333333,4.03333333333333,20.8222222222222,2,-31,97.6179775280899,0.45606802061843,0.335290251644822,0.731701473130344,11.247191011236,32.0112359550562,20.4831460674157,6.9438202247191,12.5505617977528,4.55056179775281,21.2022471910112,1,-44,"H",2
"1352",91.0224719101124,0.445006511552784,0.312456768195018,0.674327247417587,11.6966292134831,30.6966292134831,20.2359550561798,9.29213483146067,16.6966292134831,5.95505617977528,21.3033707865169,0,-52,102.455555555556,0.49171029943504,0.345778396007925,0.780502473355943,10.6666666666667,30.7666666666667,20.4111111111111,7.6,12.3666666666667,4.28888888888889,20.7222222222222,2,17,"A",-16
"1353",101.833333333333,0.490206057396314,0.358147479588704,0.782545162792631,10.5666666666667,34.7666666666667,21.5555555555556,6.3,13.3555555555556,4.43333333333333,18.4111111111111,3,19,102.112359550562,0.504419284820254,0.355830965872046,0.774257925494515,9.67415730337079,33.6741573033708,24.247191011236,8.03370786516854,13.5056179775281,5.39325842696629,18.7303370786517,3,32,"A",-12
"1354",100.333333333333,0.479391489418728,0.337054703716513,0.741284757117273,10.9,32.7222222222222,20.4666666666667,6.85555555555556,15.5333333333333,3.88888888888889,20.5666666666667,1,-29,97.5168539325843,0.465301835170737,0.334677227335339,0.690795752537976,12.8426966292135,31.8988764044944,20.9887640449438,7.57303370786517,12.7078651685393,4.52808988764045,18.6629213483146,3,-14,"H",9
